5	4
126208611464	2.006294	846
126208612132	1.906853	630
126208612916	1.414398	627
126208616510	0.460663	618
126208617689	-0.106819	837
126208612474	2.100662	325
126208614311	0.965710	110
126208613776	0.916901	109
126208613055	0.168217	330
4	3
127592164424	1.333435	620
127592164380	1.111000	871
127592165207	0.933697	623
127592164823	0.817688	873
127592166201	1.644398	359
127592166998	0.877075	361
127592169472	0.390751	102
3	4
134850933288	1.499142	883
134850932817	0.831654	583
134850933128	0.429806	874
134850932613	1.793701	364
134850934898	1.726456	64
134850932937	1.533516	367
134850961288	-0.279770	362
5	4
135594763518	4.885017	869
135594765072	0.902336	606
135594764895	0.746983	602
135594771607	-0.332237	872
135594779840	-0.461483	867
135594767246	0.889576	335
135594768306	0.823139	93
135594769090	0.528046	326
135594768832	-0.042435	96
4	3
139851798736	1.028801	591
139851799338	0.829670	864
139851800781	-0.088326	859
139851801725	-0.091358	617
139851799137	1.974373	328
139851800767	1.507050	73
139851804638	-0.484257	97
4	6
166322749442	2.875732	854
166322750908	0.773495	609
166322751477	-0.051144	851
166322760541	-0.546082	585
166322749054	1.595703	350
166322748202	1.379776	346
166322749640	1.329933	101
166322750618	1.059666	104
166322762311	-0.398708	79
166322760114	-1.149635	353
4	5
167329462795	2.753746	854
167329464173	2.206966	617
167329469195	-0.696323	851
167329495595	-0.764568	615
167329459749	3.589569	351
167329462383	2.960182	122
167329462983	0.650627	331
167329463946	0.095871	102
167329473405	-0.159492	350
2	3
170694123091	2.339565	587
170694123993	0.902599	869
170694124314	3.041492	97
170694124603	1.920506	359
170694130282	-0.362827	356
3	4
171859849496	1.819969	880
171859848662	1.398872	600
171859849823	0.096508	879
171859850043	1.581337	367
171859850462	1.274494	75
171859852081	0.641872	66
171859855458	0.135021	368
4	2
172099500070	1.866302	609
172099500549	1.293522	870
172099503907	0.243958	890
172099502690	0.208382	585
172099501854	1.560204	360
172099503642	1.016533	88
2	2
177741378551	0.507439	605
177741386450	-0.321507	878
177741382846	-0.779408	365
177741397578	-0.991173	111
9	2
185544386731	1.355709	593
185544387439	1.346363	883
185544386388	1.292789	599
