4	3
275333320100	0.686966	357
275333327616	-0.271599	73
6	2
293076330286	8.525650	633
293076329496	2.854618	878
293076346925	-0.265003	637
293076340375	-0.302822	625
293076338000	-0.499649	877
293076346320	-0.540661	626
293076331592	8.861298	373
293076346093	-0.541744	376
4	4
302863707773	0.879799	595
302863709860	0.768677	895
302863709710	0.600849	598
302863709329	0.589848	888
302863709547	2.222633	377
302863711013	1.290802	381
302863710377	1.184944	76
302863711504	0.525917	71
2	2
303014811027	-0.773056	869
303015001379	-0.778557	601
303014872458	-0.706551	352
303015016290	-0.906353	347
4	3
310975188361	1.226646	843
310975188564	0.702293	608
310975190271	0.217327	863
310975190915	-0.256500	605
310975188436	2.685303	96
310975187741	1.685513	351
310975226401	-0.322083	331
5	5
314792345301	2.546852	843
314792347208	1.922031	623
314792348176	-0.012489	863
314792350412	-0.170910	620
314792268181	-0.394653	894
314792345935	2.207623	369
314792346705	2.042736	108
314792346616	1.257900	111
314792350556	1.014980	377
314792361986	-0.121178	368
2	2
320358155264	-0.660908	629
320358153414	-0.730747	628
320358136988	0.038422	90
320358138442	-0.250229	88
3	3
338239475718	1.627445	853
338239475674	1.449394	615
338239476988	1.105186	839
338239477539	1.222279	126
338239475340	0.976818	349
338239477370	0.970371	123
4	4
340925464544	1.369968	590
340925464272	1.080746	860
340925464461	0.442024	861
340925466680	0.169361	596
340925462673	2.782352	333
340925462741	1.235657	85
340925464399	0.578087	71
340925471290	-1.266148	347
3	4
359602625008	2.667290	630
359602624845	1.448116	842
359602627759	0.309906	837
359602626839	2.489529	124
359602623619	2.064598	322
359602652017	-0.232758	331
359602632139	-0.803246	335
4	4
362704528760	2.082794	868
362704528329	1.339497	582
362704530212	-0.282021	591
362704547659	-0.567883	865
362704530016	2.100376	126
362704527622	1.559345	326
362704529430	0.622074	322
362704530912	0.284603	73
3	4
368296023035	2.874096	639
368296023469	1.641712	888
368296024469	0.781979	885
368296023978	1.498211	368
368296024731	1.488811	125
368296024635	1.130413	367
368296025953	0.508007	122
3	3
389176334270	1.921612	624
389176334838	1.048412	895
389176334547	0.949329	888
389176337695	1.938637	127
389176336497	0.737511	354
389176336341	0.693260	355
4	4
412824122976	1.562668	589
412824123812	1.224991	873
412824124487	0.685810	871
412824126559	-0.644875	603
412824124687	0.672493	331
412824125453	0.646919	351
412824126161	0.384087	77
412824126395	0.227104	68
4	4
417065503482	2.843990	588
417065504108	1.668724	876
417065505002	0.670506	874
417065507725	-0.465080	583
417065503423	1.818798	368
417065504001	1.199924	94
417065503887	0.478035	367
417065504490	-0.144123	95
4	5
417746281322	2.524918	883
417746283846	1.822048	885
417746281799	1.194363	602
417746281301	-0.399490	600
417746283823	3.188766	79
417746284194	1.379478	378
417746283285	0.483963	358
417746287954	0.032894	70
417746457584	-0.529900	349
4	4
419047016313	1.221523	857
419047016567	0.582859	586
419047017122	0.581158	860
419047018819	0.498478	581
419047018052	1.417542	84
419047016355	1.352627	333
419047019577	0.620735	324
419047019465	-0.279903	87
4	4
432928901063	2.232716	873
432928901258	2.027451	621
432928901803	1.909580	625
432928928200	-0.905060	847
432928905737	3.149315	116
432928904325	2.106514	330
432928904994	1.652813	320
432928906568	0.254101	117
3	2
434499547737	1.761696	593
434499547697	1.251266	835
434499547593	0.920601	833
434499548197	1.748241	337
434499550973	0.397167	74
5	3
443594355023	4.253231	630
443594354811	1.215393	847
443594356471	0.773724	627
443594357725	0.369877	631
443594356303	0.010094	838
443594354746	1.943813	345
443594357962	1.790031	106
443594358073	0.590229	348
3	4
446858977887	0.806023	846
446858977280	0.362099	603
446858979900	0.158970	852
446858977044	2.156971	93
446858978372	0.709103	330
446858978105	0.636406	320
446858981476	-0.795715	96
3	4
449555083816	1.631737	605
449555087095	-0.098564	856
449555099326	-0.859875	608
449555085056	1.815910	333
449555085918	1.366505	95
449555086279	0.421364	324
449555096132	-1.313484	97
3	4
450267937470	1.735855	861
450267937871	1.189259	864
450267938772	1.154675	617
450267939300	1.969315	66
450267938702	0.857754	327
450267940901	0.580181	332
450267939935	0.192154	70
3	4
465924588807	1.026867	853
465924589585	0.752167	610
465924594458	-0.514858	614
465924590214	1.692024	109
465924588896	0.896660	327
465924591810	0.507961	332
