zenith_angle_degrees,amplitude
0.40404040404040403,0.0008325982358315076
1.2121212121212122,0.002247285598563718
2.0202020202020203,0.003624680343137945
2.8282828282828283,0.005065715751307862
3.6363636363636367,0.00660403625032469
4.444444444444445,0.008130601467530857
5.252525252525253,0.009276944121343661
6.0606060606060606,0.010410720784255409
6.8686868686868685,0.011630837965293793
7.6767676767676765,0.013290764827869252
8.484848484848484,0.01452506941798949
9.292929292929294,0.015446440299218806
10.1010101010101,0.016332950689561313
10.90909090909091,0.017264860788965712
11.717171717171716,0.018587127315393356
12.525252525252526,0.019660506151070973
13.333333333333332,0.02058674128684264
14.141414141414142,0.02094750683206661
14.949494949494948,0.021673902177056902
15.757575757575758,0.021872931258747837
16.565656565656568,0.023326532657818908
17.373737373737374,0.023836468675674714
18.18181818181818,0.024362213520793354
18.98989898989899,0.02407887069370161
19.7979797979798,0.02442423276620826
20.606060606060606,0.02505861262943907
21.41414141414141,0.025641512465430276
22.22222222222222,0.02610767019240496
23.03030303030303,0.026293727928649802
23.838383838383837,0.025740013619912665
24.646464646464644,0.02555071304730649
25.454545454545453,0.02574933677445216
26.262626262626263,0.02570272100175468
27.070707070707073,0.026099563101501164
27.87878787878788,0.02585513431074818
28.686868686868685,0.02595039262886923
29.494949494949495,0.025451401183733485
30.303030303030305,0.02483201943867491
31.11111111111111,0.024450175457100664
31.91919191919192,0.02395807503923336
32.72727272727273,0.02372945507574332
33.535353535353536,0.023573798930388048
34.34343434343434,0.023227220794245915
35.151515151515156,0.022883885494465347
35.95959595959596,0.02228315005848585
36.76767676767676,0.02160012764983128
37.57575757575758,0.020825495113962728
38.38383838383838,0.020018434214478537
39.1919191919192,0.01970266302377126
40.0,0.018807640187979816
40.8080808080808,0.01808043413389897
41.61616161616162,0.01726080724351372
42.42424242424242,0.01633295068956128
43.23232323232323,0.015842877044420087
44.04040404040404,0.015215388208457352
44.848484848484844,0.014519799808901918
45.65656565656566,0.013775974218468219
46.464646464646464,0.013062550218924298
47.272727272727266,0.012562748064698162
48.08080808080808,0.01168961437434711
48.888888888888886,0.011111578792898364
49.696969696969695,0.010326001684309622
50.505050505050505,0.009815254957363233
51.31313131313131,0.009231544412281748
52.121212121212125,0.008485286694576879
52.92929292929293,0.007774700176849212
53.73737373737374,0.0070000676409807195
54.54545454545455,0.006372984159563258
55.35353535353535,0.005830619778091713
56.161616161616166,0.0054564775328762895
56.96969696969697,0.00481074774237994
57.77777777777777,0.004171098270061438
58.58585858585859,0.0037969560248460148
59.39393939393939,0.003352282088766579
60.2020202020202,0.002843967489091478
61.01010101010101,0.0024365861711700006
61.81818181818181,0.002147163025900431
62.62626262626263,0.001690328453465131
63.43434343434343,0.001481165508144279
64.24242424242425,0.0012525455446540069
65.05050505050505,0.0008942121267012258
65.85858585858585,0.0006716724813889081
66.66666666666666,0.00045034889971216885
67.47474747474747,0.00032468899070157834
68.28282828282829,0.00018808450897069877
69.0909090909091,8.836729085261433e-05
69.8989898989899,1.743024544340558e-05
70.7070707070707,1.2160636355864145e-06
71.51515151515152,0.0
72.32323232323232,0.0
73.13131313131314,0.0
73.93939393939394,0.0
74.74747474747474,0.0
75.55555555555556,0.0
76.36363636363636,0.0
77.17171717171718,0.0
77.97979797979798,0.0
78.78787878787878,0.0
79.5959595959596,0.0
