azimuth_angle_degrees,amplitude
1.8,0.0027814265347800246
5.4,0.0027928914570314735
9.0,0.002796804089228396
12.600000000000001,0.0027974410293534766
16.2,0.0028004437470859995
19.8,0.00278988873929895
23.4,0.002826922258000061
27.0,0.0028190969936062117
30.6,0.0027879779189237115
34.2,0.0027765129966722596
37.8,0.0028055392680866416
41.400000000000006,0.0027853391669769465
45.0,0.0028169131988916504
48.6,0.0027676868263675786
52.2,0.002775603082207859
55.8,0.0027653210487601316
59.400000000000006,0.002775785065100739
63.0,0.0027955302089782397
66.6,0.0027889788248345437
70.2,0.0027702345868679005
73.80000000000001,0.002781062568994258
77.4,0.0027572228100269706
81.0,0.0027608624678845733
84.6,0.002768050792153328
88.2,0.002741390298346398
91.80000000000001,0.0027467587936863516
95.4,0.0027487606055080437
99.0,0.002791071628102676
102.6,0.0027782418341546155
106.2,0.0027955302089782397
109.80000000000001,0.0027575867758127203
113.4,0.002788978824834555
117.0,0.0027635922112777757
120.6,0.0027503984515439544
124.2,0.0027525822462585274
127.8,0.0027823364492444293
131.4,0.002754857032419507
135.0,0.0028231006172495803
138.60000000000002,0.002754402075187328
142.2,0.0027851571840840717
145.8,0.0027837013209410307
149.4,0.0028018996102290223
153.0,0.0027938013714958786
156.60000000000002,0.0028306529073041063
160.2,0.0028148203956235344
163.8,0.0028084509943727292
167.4,0.0028219177284458372
171.0,0.0028147294041770943
174.60000000000002,0.002881972083096305
178.2,0.00282282764291026
181.8,0.002819642942284858
185.4,0.0028382051973586094
189.0,0.002825102429071262
192.60000000000002,0.0028324727362329075
196.2,0.0028177321219096164
199.8,0.002825284411964142
203.4,0.0028410259321982514
207.0,0.0028137284982662535
210.60000000000002,0.0027844292525125514
214.2,0.002813364532480493
217.8,0.0027867950301199928
221.4,0.00277214540724312
225.0,0.0028342925651617095
228.60000000000002,0.0027507624173297254
232.2,0.0027946202945138394
235.8,0.002710271223663895
239.4,0.002790889645209774
243.0,0.0027904346879775955
246.60000000000002,0.0027679598007068983
250.2,0.002723737957737025
253.8,0.0027478506910436433
257.4,0.0027127279927177768
261.0,0.002737659649042334
264.6,0.0027340199911847314
268.20000000000005,0.0027036288480737913
271.8,0.00266550343201536
275.4,0.0027145478216466
279.0,0.0026480330742988667
282.6,0.0026278329731891717
286.20000000000005,0.002625012238349571
289.8,0.0025950760524707473
293.4,0.002699807207323308
297.0,0.0027988968924965003
300.6,0.002783064380815928
304.20000000000005,0.00279361938860302
307.8,0.0027863400728877705
311.4,0.002781790500565811
315.0,0.0028331096763579656
318.6,0.0027826094235837277
322.20000000000005,0.002786613047227135
325.8,0.0027867950301199707
329.4,0.002811908669337474
333.0,0.002790525679424014
336.6,0.0028209168225349964
340.20000000000005,0.002775057133529246
343.8,0.0027975320207998993
347.4,0.0028063581911046296
351.0,0.0027584056988306693
354.6,0.0027899797307453732
358.20000000000005,0.002776603988118727
