0.5,0.0007506322
1.5,0.002085858
2.5,0.003371435
3.5,0.00470015
4.5,0.005917969
5.5,0.007143316
6.5,0.008422382
7.5,0.009577123
8.5,0.01078192
9.5,0.01191387
10.5,0.01297989
11.5,0.01391712
12.5,0.01496991
13.5,0.01588862
14.5,0.0167414
15.5,0.01755104
16.5,0.01839792
17.5,0.01903297
18.5,0.01974189
19.5,0.02028681
20.5,0.02086937
21.5,0.02127938
22.5,0.02178868
23.5,0.02222087
24.5,0.02240136
25.5,0.0228134
26.5,0.02302624
27.5,0.023176
28.5,0.02312208
29.5,0.02336706
30.5,0.02338538
31.5,0.02317111
32.5,0.02311272
33.5,0.02284901
34.5,0.02262966
35.5,0.02239525
36.5,0.0220937
37.5,0.02175226
38.5,0.02129647
39.5,0.02090721
40.5,0.02048032
41.5,0.01985096
42.5,0.01933758
43.5,0.01866712
44.5,0.01810694
45.5,0.01745357
46.5,0.01679919
47.5,0.01605038
48.5,0.01533862
49.5,0.01462624
50.5,0.01388456
51.5,0.01311521
52.5,0.01225348
53.5,0.01161964
54.5,0.01087084
55.5,0.01009375
56.5,0.009340274
57.5,0.008529209
58.5,0.007755176
59.5,0.007030589
60.5,0.006316787
61.5,0.005585078
62.5,0.004991124
63.5,0.004286682
64.5,0.003720808
65.5,0.003136825
66.5,0.002578073
67.5,0.002081992
68.5,0.001589574
69.5,0.001154944
70.5,0.0008000775
71.5,0.0004519258
72.5,0.0002217916
73.5,5.10731e-05
74.5,2.034785e-07
75.5,0
76.5,0
77.5,0
78.5,0
79.5,0
80.5,0
81.5,0
82.5,0
83.5,0
84.5,0
85.5,0
86.5,0
87.5,0
88.5,0
89.5,0
