Event Number, Hits, Delta t, QDC, Layer 1 Hits, Layer 1 QDC, Layer 2 Hits, Layer 2 QDC, Layer 3 Hits, Layer 3 QDC, Layer 4 Hits, Layer 4 QDC, x1 (cm), y1 (cm), x2 (cm), y2 (cm), Adjacent Cut, Edge Cut
38, 8, 3327, 10.94639, 1, 1.790031, 2, 2.534042, 3, 5.396832, 2, 1.225487, 97.83537, 27.25159, 100.5265, 51.6784, 1, 1
39, 7, 4432, 4.033857, 2, 1.361256, 2, 1.345509, 1, 0.362099, 2, 0.964993, 30.43918, 11.30766, 32.89138, 4.898162, 1, 1
40, 7, 15510, 2.963593, 2, 0.053021, 2, 2.237274, 2, 0.771862, 1, -0.098564, 39.76099, 34.85962, 32.95394, 39.56584, 0, 1
41, 7, 3431, 7.679193, 2, 2.161469, 2, 1.437935, 1, 1.154675, 2, 2.925114, 49.448, 21.66459, 53.59517, 30.55841, 1, 1
42, 7, 5651, 4.650501, 2, 1.981704, 2, 1.404621, 2, 0.237309, 1, 1.026867, 80.39209, 21.14476, 71.46562, 17.89884, 1, 1
43, 5, 2365, 9.219573, 1, 2.670818, 1, 1.834377, 1, 2.560158, 2, 2.15422, 91.17209, 69.41438, 77.43726, 59.77865, 1, 1
44, 8, 4099, 5.627945, 2, 0.705143, 2, 1.551868, 2, 1.107491, 2, 2.263443, 24.85617, 100.3983, 9.786835, 99.11221, 1, 1
45, 7, 2433, 5.289455, 2, 1.149689, 1, 0.81279, 2, 1.666366, 2, 1.66061, 13.41059, 13.82233, 10.01251, 20.41166, 1, 1
46, 8, 15431, 11.91837, 2, 1.346946, 2, 2.73642, 2, 6.060482, 2, 1.774525, 40.17809, 76.24201, 48.57045, 84.24749, 1, 1
47, 4, 12179, -3.503646, 2, -2.373481, -1e+06, -1e+06, 1, -0.481804, 1, -0.648361, 7.744618, -1e+06, 13.2, 41.25, 1, 1
48, 7, 1814, 6.403593, 2, 1.775642, 2, 1.626216, 2, 1.597366, 1, 1.404369, 36.87603, 18.58585, 20.81192, 15.25263, 1, 1
49, 8, 3051, 7.298362, 2, 2.597873, 2, 2.007328, 2, 1.04691, 2, 1.646251, 57.636, 37.84135, 50.8982, 22.22673, 1, 1
